Number_of_Garments,Fabric_Required_kg
20443,5746.04
13150,3681.67
3128,880.11
31238,8952.36
4872,1385.42
41372,11835.63
47177,13577.45
32499,9215.74
9771,2806.46
463,134.55
7085,2047.33
14441,4048.99
45707,13038.19
3391,969.21
8053,2290.11
30550,8779.7
36729,10517.72
49596,14411.5
40250,11651.93
33181,9421.95
36005,10233.67
10530,3037.61
31208,8872.08
49368,13892.06
41889,11805.44
34263,9757.43
15779,4446.33
5177,1491.2
15467,4357.78
21052,6117.72
5380,1505.58
15255,4322.25
10114,2912.24
4309,1222.84
21784,6221.67
27348,7623.59
27634,7832.17
38378,11181.68
1380,400.32
37828,10716.5
486,141.58
19669,5676.71
27560,7869.61
48244,13781.25
39634,11520.37
32096,9019.03
28662,8162.81
25584,7231.7
44608,12902.8
47559,13327.31
30730,8941.77
40880,11670.68
25922,7421.71
43550,12118.28
42223,11990.6
30357,8514.07
17149,4857.92
13971,3972.72
22218,6414.84
24946,7030.78
27727,7804.32
5467,1555.78
49188,14046.21
23035,6474.45
4596,1328.28
42813,11921.22
2133,621.57
13165,3815.66
40819,11431.22
8372,2382.87
7596,2171.78
14384,4092.27
16893,4878.75
11096,3179.1
49116,14150.89
10832,3158.85
7184,2055.5
20544,5877.23
24696,7001.99
46959,13181.45
38903,11193.03
41206,11592.71
45791,13228.23
44943,12873.06
8033,2323.31
37188,10748.36
22854,6524.05
43453,12303.96
33258,9548.45
929,269.39
32225,9002.99
23836,6839.31
30229,8704.57
28640,8030.23
34293,10000.97
17800,5102.4
35369,10218.59
30565,8682.96
48008,13745.54
21222,6154.63
5779,1628.81
29643,8340.06
30555,8738.59
43890,12432.97
1980,564.14
21400,6001.98
14001,3961.32
17031,4815.09
39169,11275.46
18205,5202.9
33957,9894.56
5710,1606.3
26735,7615.12
49787,14005.06
31301,8985.86
32266,9171.98
1230,343.42
14622,4147.35
16045,4528.52
38212,10819.1
36372,10382.05
27985,8173.77
36170,10221.24
46162,13125.74
20194,5683.75
8007,2307.24
20779,5809.36
35218,10263.41
45330,12715.67
14280,4118.35
18220,5251.01
49920,14244.73
18646,5441.78
12821,3616.76
23750,6660.26
1027,295.74
8395,2365.58
3673,1049.6
45805,13344.29
41903,12162.37
32270,9014.2
903,258.31
30862,8786.31
22428,6291.1
3467,975.87
31408,8778.56
4382,1242.67
4955,1417.61
45087,12562.99
9877,2858.74
20012,5585.13
16365,4575.05
27374,7843.06
40628,11420.17
34347,9730.35
29114,8213.42
38669,11290.69
20113,5751.87
4047,1159.72
48602,13574.01
13717,3933.88
17443,5011.13
10392,2923.2
36275,10118.72
275,78.02
45278,12964.76
19187,5340.51
18981,5465.56
46170,13395.04
4764,1370.46
17437,5041.06
41063,11755.5
13064,3709.3
35788,10059.24
9864,2868.65
9421,2627.45
10973,3173.06
39096,11281.06
37403,10884.35
28880,8076.21
45233,12765.13
26478,7713.26
32898,9394.67
28788,8032.47
2712,787.97
48238,13625.7
16508,4593.24
15102,4403.47
37796,10818.78
1459,426.2
44158,12787.28
37864,10543.17
49662,13923.81
34110,9794.99
18329,5140.57
38460,10925.96
32325,9428.69
30902,8740.12
21943,6197.8
6955,2017.63
21714,6161.15
32571,9184.44
26344,7625.75
36151,10064.36
5871,1657.72
21286,5950.01
26588,7715.84
175,50.27
35659,10143.49
3652,1024.56
23809,6827.17
32769,9397.73
49906,13904.33
17601,5028.63
18976,5391.43
45860,13060.11
1991,580.86
40003,11571.48
46616,13058.63
36199,10065.85
26838,7493.26
7535,2143.34
7798,2238.84
10190,2903.91
47063,13273.37
46329,13054.18
31721,9257.57
16073,4570.91
9579,2714.12
39380,11227.92
9046,2625.04
18204,5258.87
27293,7716.23
33375,9401.14
268,75.55
19666,5699.38
38105,11130.83
32189,9341.41
29364,8384.88
22718,6420.39
35714,10116.0
21188,6150.17
45811,12885.63
25198,7085.76
27020,7524.99
48904,13918.81
25084,7108.22
43595,12606.22
42830,12500.01
32561,9495.56
8373,2386.58
38778,10958.89
6677,1938.55
28955,8087.01
30045,8355.33
9547,2708.65
43011,12546.17
5003,1423.68
17468,4938.19
45497,12900.18
5363,1555.34
44294,12850.6
25004,7287.95
41177,11863.78
49868,14203.82
35556,9898.31
4584,1289.11
44952,13080.95
15008,4330.05
28540,8328.44
49931,14325.5
6686,1900.14
45582,12860.61
1997,556.23
3777,1065.32
24665,7005.16
16103,4596.51
37188,10694.92
11900,3335.54
5275,1511.61
25170,7216.39
15883,4526.13
38317,10725.48
30321,8701.07
30218,8506.77
715,207.84
30590,8893.04
44507,12714.05
4940,1403.8
22746,6640.67
19705,5654.94
27907,8029.18
30039,8708.92
13155,3842.79
31767,8875.53
25093,7177.22
37770,10654.58
45927,12955.18
43237,12258.35
630,180.14
45044,13016.18
3314,963.88
48935,13944.19
18856,5448.05
15181,4349.75
23189,6516.01
12560,3601.24
44517,12849.47
43300,12452.09
9063,2599.52
41221,11833.95
20346,5882.29
2286,654.1
48095,13454.46
19440,5492.4
27330,7662.73
8761,2532.65
24076,6872.24
17960,5203.18
16940,4927.85
31678,9239.21
19442,5609.28
22298,6451.6
30792,8978.83
9324,2691.11
14885,4318.61
47562,13673.38
26144,7625.12
36624,10367.79
25958,7218.23
35264,9861.09
24255,6972.41
44162,12436.5
25070,7260.13
24444,6830.12
15423,4389.29
40702,11822.93
36892,10423.8
40082,11264.22
4242,1217.15
30526,8877.99
19904,5714.97
7746,2167.85
2538,716.25
32384,9052.29
15487,4499.26
8990,2547.88
24414,7017.3
48802,14045.21
35502,10077.16
48745,14049.72
27289,7837.61
32169,9221.18
18433,5130.66
24383,6850.92
29243,8522.01
23868,6666.11
45036,12750.12
42359,11987.01
26192,7381.07
8105,2361.78
29900,8347.52
14000,4018.27
39234,11445.07
3414,986.94
16062,4689.55
37100,10417.65
36420,10227.72
14252,4125.4
15369,4342.62
9770,2824.64
39158,10882.61
9582,2797.44
35503,9992.21
11535,3223.36
1789,500.48
23577,6816.87
15693,4492.37
1134,317.93
3534,988.39
27688,7901.37
48967,13651.05
29478,8518.01
33735,9659.5
29722,8472.4
40411,11254.18
43281,12348.32
30118,8645.15
2141,596.79
31490,9130.49
28036,8064.61
32230,9283.1
29169,8135.88
5394,1523.62
9821,2738.2
18123,5197.16
38462,10988.17
21411,6065.8
39250,11203.34
29834,8505.05
28293,7901.9
46091,12882.68
43007,12349.48
36232,10440.14
14191,4030.29
15074,4277.58
29820,8455.67
47915,13379.3
28068,7924.4
16804,4759.04
10103,2906.25
31181,8694.25
5694,1589.78
6428,1854.38
24521,7097.42
36562,10190.92
36904,10550.08
44009,12305.66
23273,6756.71
49270,13987.84
47355,13193.49
18950,5427.86
23145,6465.59
33353,9369.08
43139,12283.67
7192,2034.36
36555,10349.19
18356,5250.84
28222,8182.08
40845,11706.93
42219,12066.55
40011,11647.78
45547,12829.96
11923,3359.53
20349,5921.7
23104,6422.03
9488,2713.05
26365,7352.32
48660,13960.44
2109,588.8
34865,9795.0
27614,7851.75
10415,2948.99
47390,13387.55
37297,10680.79
3547,993.49
49542,14202.66
44269,12352.71
29139,8371.86
31928,9148.2
27243,7676.2
49575,14137.6
22721,6452.79
18662,5366.06
38971,11099.31
43821,12369.35
14551,4125.32
39377,10972.62
13497,3808.45
13943,4026.87
16845,4750.28
7963,2213.6
49056,13932.48
8566,2426.69
46215,12993.54
36716,10638.47
23310,6501.21
48730,13570.22
1328,377.72
5202,1509.41
37832,10744.0
26604,7661.56
27473,7747.4
26644,7411.62
21384,5994.45
40609,11550.47
45294,13179.73
5875,1669.08
7037,1979.81
38692,10972.33
5254,1489.59
20434,5895.26
14620,4131.92
11118,3101.52
41599,11626.92
33520,9406.99
22996,6505.07
42399,12274.06
15584,4353.23
16875,4736.58
39578,11083.95
49851,14318.0
11709,3412.36
41253,11753.65
49543,14164.75
38076,10823.94
37094,10647.37
41028,11589.62
41205,11635.47
28920,8064.29
29080,8342.24
18101,5182.37
23164,6604.16
20442,5814.83
2564,714.55
18913,5276.13
6017,1724.71
33331,9444.47
38132,10897.13
48525,14103.37
29573,8600.68
37564,10787.02
21171,6065.41
32957,9228.78
4154,1180.96
22607,6598.4
5626,1603.77
11408,3176.36
46474,13203.87
28897,8245.56
40064,11223.41
24535,7138.6
25489,7231.23
22275,6405.16
3531,1020.89
42521,12018.3
21706,6060.79
44558,12627.0
16614,4787.96
43128,12576.89
39598,11496.06
21947,6124.01
43590,12200.42
23025,6499.86
43095,12403.96
25787,7212.95
46554,13558.46
20388,5827.7
42271,12222.92
8475,2435.92
48516,14170.78
34597,9659.71
44039,12503.05
23812,6622.95
20341,5704.51
14137,3997.16
31968,8970.57
9115,2552.96
19485,5648.86
6728,1918.22
35474,10279.49
34606,9634.76
22170,6437.36
40603,11358.38
24788,6942.45
11951,3462.46
41042,11877.71
10948,3154.69
2963,840.69
44426,12800.42
29211,8371.17
49408,14256.27
29520,8301.31
15774,4452.76
30837,8966.06
12815,3628.14
37483,10941.41
30356,8768.01
25126,7161.95
27537,8031.01
13187,3814.91
9170,2662.19
3519,1009.99
24427,6980.68
6823,1965.11
33910,9834.04
18781,5241.22
10606,2988.37
33743,9447.19
28770,8032.06
14651,4241.66
23010,6699.0
27290,7603.92
32999,9345.45
25407,7420.04
24670,6934.11
20985,6109.56
46938,13477.63
9671,2706.29
18900,5498.92
31062,8939.46
9195,2654.49
30843,8767.66
444,129.11
1345,378.65
9898,2827.81
47760,13685.7
27838,7779.59
18981,5338.62
8085,2252.12
27613,7924.38
40916,11636.05
7365,2134.36
32856,9409.25
1177,337.66
37786,10630.06
9509,2681.78
202,57.9
15865,4537.5
12375,3555.86
5710,1629.26
23732,6617.42
34575,9875.59
33367,9535.34
25688,7457.74
2953,847.31
24564,6914.51
1164,329.37
4527,1280.18
48134,13825.95
6893,1991.17
48281,13936.68
8843,2462.84
35883,10144.1
42226,11838.9
44971,12794.06
45673,13002.83
12045,3486.29
4235,1220.01
30094,8378.23
13311,3707.1
13172,3826.43
20782,6051.21
33876,9605.53
35688,10157.55
2499,721.23
12624,3559.36
3232,937.97
21853,6157.48
24218,6880.37
26315,7591.01
25439,7191.76
12343,3517.09
32705,9259.1
34131,9613.88
5514,1589.33
5272,1497.31
11926,3406.64
21150,5907.98
21590,6202.66
20186,5737.45
47132,13383.0
45304,12875.43
29403,8188.11
23205,6651.4
28604,8060.25
3859,1076.45
41880,11879.83
33725,9756.33
44625,12501.91
2140,599.01
39917,11477.65
28816,8021.54
4506,1267.26
42381,11997.86
25190,7340.49
2222,636.6
44603,12680.03
24411,6912.61
5138,1469.74
34798,9851.45
20703,5944.48
16458,4798.53
1798,518.47
32805,9357.72
36909,10318.03
17158,4939.92
14162,4136.34
18815,5414.28
32291,9064.97
8995,2608.8
29725,8332.97
46851,13315.89
5853,1694.0
21044,6047.87
46600,12992.1
35631,10048.39
19757,5729.67
46749,13463.07
45989,13197.11
23790,6783.12
8053,2350.78
9201,2587.77
32476,9036.43
36408,10413.78
30731,8891.31
36252,10140.56
5750,1603.17
26193,7651.48
47211,13440.78
27021,7804.63
37776,10536.71
20876,5992.0
29589,8418.46
34005,9616.08
36230,10397.72
12025,3473.01
8556,2430.24
3731,1080.95
34054,9537.01
10890,3051.19
46586,13094.76
34106,9912.15
5268,1482.66
41719,12161.21
18086,5057.91
19945,5716.85
6222,1773.5
11151,3192.62
38153,10685.6
43270,12408.7
39758,11239.03
37037,10313.4
1959,546.62
42138,12172.07
17444,5009.11
37595,10669.89
41976,11682.2
41201,11769.04
42168,12292.28
31750,8933.32
44991,12762.23
29823,8318.08
4026,1127.79
27338,7785.19
13470,3808.28
9515,2686.36
47178,13324.26
22734,6633.19
8669,2502.87
33849,9676.7
21013,5911.37
8129,2289.83
16347,4575.24
3416,963.35
25275,7334.54
27502,7739.42
10566,3058.51
37959,10937.93
12540,3620.92
32754,9566.38
30693,8746.96
20320,5790.44
6001,1748.36
33224,9448.59
